Countries Today:
countryRank;countryName;totalCases;newCases;totalDeaths;newDeaths;totalRecovered;newRecovered;activeCases;seriousCritical;totCases1Mpop;deaths1Mpop;totalTests;tests1Mpop;population
34;Panama;113,962;None;2,406;None;90,772;None;20,784;113;26,308;555;493,485;113,920;4,331,867
35;Dominican Republic;113,926;+576;2,128;+11;89,635;+795;22,163;178;10,475;196;488,732;44,938;10,875,577
36;Kazakhstan;108,106;+62;1,725;None;103,110;+82;3,271;221;5,740;92;2,964,281;157,393;18,833,636
37;Kuwait;106,458;+371;620;+5;98,435;+537;7,403;129;24,836;145;755,765;176,313;4,286,499
38;Egypt;103,466;None;5,956;None;97,143;None;367;41;1,006;58;135,000;1,313;102,817,572
39;Oman;98,585;None;935;None;88,528;None;9,122;190;19,185;182;376,700;73,306;5,138,737
40;Poland;98,140;+2,367;2,604;+34;72,209;+856;23,327;179;2,594;69;3,390,790;89,618;37,835,871
41;UAE;97,760;+1,231;426;+2;87,122;+1,051;10,212;None;9,854;43;10,023,959;1,010,410;9,920,685
42;Sweden;94,283;None;5,895;None;N/A;N/A;N/A;20;9,321;583;1,661,484;164,253;10,115,386
43;Guatemala;93,748;+658;3,285;+18;82,040;+574;8,423;5;5,209;183;336,546;18,698;17,998,585
44;Japan;84,768;+553;1,590;+12;77,807;+588;5,371;137;671;13;2,150,084;17,013;126,375,826
45;Nepal;84,570;+2,120;528;+8;62,740;+2,044;21,302;None;2,889;18;1,061,664;36,274;29,268,206
46;Belarus;79,852;+431;851;+7;75,148;+166;3,853;None;8,451;90;1,897,263;200,800;9,448,519
47;Czechia;79,475;+1,424;709;+10;35,291;+259;43,475;245;7,418;66;1,433,997;133,842;10,714,104
48;Honduras;78,269;+671;2,386;+6;28,978;+461;46,905;30;7,871;240;183,299;18,433;9,944,256
49;Portugal;78,247;+963;1,995;+12;49,845;+486;26,407;106;7,680;196;2,647,756;259,865;10,188,983
50;Costa Rica;77,829;None;930;None;42,621;None;34,278;224;15,243;182;234,624;45,951;5,105,967
51;Ethiopia;76,988;None;1,208;None;31,677;None;44,103;296;666;10;1,285,743;11,116;115,668,563
52;Venezuela;76,820;None;643;None;67,216;None;8,961;215;2,704;23;1,957,439;68,888;28,415,006
53;Bahrain;71,803;None;257;+2;66,184;None;5,362;57;41,845;150;1,458,920;850,220;1,715,933
54;Nigeria;59,127;None;1,112;None;50,593;None;7,422;7;285;5;509,555;2,457;207,404,399
55;Uzbekistan;57,924;+470;476;+4;54,456;+501;2,992;283;1,724;14;1,377,915;41,020;33,591,599
56;Singapore;57,800;+6;27;None;57,562;+28;211;None;9,860;5;2,885,545;492,238;5,862,088
57;Moldova;55,888;+872;1,353;+9;40,475;+473;14,060;685;13,863;336;292,588;72,575;4,031,529
58;Switzerland;54,384;None;2,076;+1;45,800;None;6,508;31;6,272;239;1,391,498;160,481;8,670,795
59;Armenia;51,925;+543;972;+6;44,583;+177;6,370;None;17,515;328;303,707;102,442;2,964,671
60;Algeria;51,847;None;1,749;None;36,385;None;13,713;23;1,177;40;None;None;44,049,558
61;Austria;47,432;+1,058;809;+6;38,045;+859;8,578;97;5,259;90;1,673,868;185,582;9,019,565
62;Kyrgyzstan;47,184;+128;1,066;+1;43,278;+141;2,840;24;7,202;163;267,718;40,865;6,551,257
63;Ghana;46,803;+109;303;+2;46,006;+61;494;4;1,498;10;487,672;15,613;31,234,701
64;Paraguay;42,684;None;890;None;25,803;None;15,991;140;5,966;124;283,537;39,629;7,154,733
65;Lebanon;42,173;None;386;None;18,739;None;23,048;160;6,186;57;866,663;127,124;6,817,483
66;Palestine;41,078;+312;329;+8;33,442;+498;7,307;None;8,006;64;429,132;83,637;5,130,858
67;Azerbaijan;40,561;+108;595;+1;38,354;+137;1,612;None;3,991;59;1,132,327;111,423;10,162,461
68;Afghanistan;39,297;+7;1,462;+4;32,842;None;4,993;93;1,004;37;111,580;2,850;39,146,316
69;Kenya;39,184;+261;728;+3;25,426;+312;13,030;44;725;13;559,098;10,341;54,066,048
70;Ireland;37,063;None;1,801;None;23,364;None;11,898;20;7,485;364;1,221,801;246,739;4,951,786
71;Libya;36,087;+370;578;+8;20,889;+555;14,620;None;5,234;84;215,270;31,222;6,894,907
72;Serbia;33,842;+107;753;+2;31,536;None;1,553;20;3,877;86;1,151,790;131,962;8,728,210
73;Hungary;29,717;+1,086;812;+14;6,824;+475;22,081;43;3,078;84;751,217;77,814;9,653,981
74;El Salvador;29,358;+183;857;+4;24,175;+245;4,326;40;4,520;132;403,345;62,105;6,494,600
75;Denmark;29,302;+370;654;+2;22,297;+473;6,351;31;5,054;113;4,006,432;691,068;5,797,447
76;Bosnia and Herzegovina;27,975;None;871;None;21,108;None;5,996;None;8,541;266;245,211;74,862;3,275,489
77;Australia;27,121;+8;893;+3;24,850;+26;1,378;6;1,060;35;7,743,200;302,765;25,574,926
78;S. Korea;24,027;+75;420;+4;21,787;+54;1,820;104;469;8;2,339,859;45,629;51,280,581
79;Bulgaria;21,336;None;838;None;14,939;None;5,559;50;3,077;121;538,955;77,718;6,934,755
80;Cameroon;20,924;None;420;None;19,764;None;740;30;783;16;149,000;5,579;26,709,411
81;Ivory Coast;19,793;None;120;None;19,357;None;316;None;746;5;164,839;6,211;26,539,985
82;Tunisia;19,721;None;271;None;5,032;None;14,418;41;1,664;23;238,671;20,141;11,850,048
83;Greece;19,613;+267;405;+7;9,989;None;9,219;79;1,884;39;1,339,664;128,693;10,409,783
84;North Macedonia;18,602;+239;753;+4;15,264;+100;2,585;3;8,929;361;193,652;92,952;2,083,352
85;Croatia;17,401;+241;293;+2;15,661;+238;1,447;23;4,246;71;321,551;78,453;4,098,655
86;Madagascar;16,529;+36;232;None;15,480;+13;817;14;593;8;72,228;2,592;27,866,936
87;Myanmar;16,503;+978;371;+18;4,795;+417;11,337;None;303;7;316,483;5,807;54,503,102
88;Senegal;15,068;+17;312;None;12,751;+57;2,005;9;894;19;181,055;10,743;16,852,830
89;Zambia;14,830;None;333;None;13,980;None;517;None;801;18;158,496;8,562;18,510,621
90;Jordan;14,749;+1,099;88;+9;5,101;+172;9,560;48;1,442;9;1,271,021;124,258;10,228,900
91;Norway;14,328;+44;275;None;11,190;None;2,863;3;2,638;51;1,075,807;198,048;5,432,064
92;Albania;14,117;+152;392;+3;8,536;+194;5,189;23;4,907;136;86,747;30,152;2,876,983
93;Sudan;13,653;None;836;None;6,764;None;6,053;None;310;19;None;None;44,103,404
94;Slovakia;12,321;+704;54;None;4,793;+37;7,474;37;2,256;10;484,337;88,701;5,460,325
95;Malaysia;12,088;+317;137;+1;10,216;+121;1,735;33;372;4;1,581,208;48,696;32,470,953
96;Montenegro;11,934;+244;174;+2;7,803;+185;3,957;17;19,001;277;70,925;112,922;628,087
97;Namibia;11,480;None;123;None;9,351;None;2,006;9;4,498;48;100,721;39,461;2,552,440
98;Guinea;10,735;None;66;None;10,066;None;603;24;812;5;33,375;2,524;13,220,584
99;DRC;10,729;None;272;None;10,183;None;274;None;119;3;None;None;90,228,144
100;Maldives;10,398;None;34;None;9,213;None;1,151;12;19,152;63;149,135;274,684;542,933
101;Finland;10,391;+147;345;None;8,100;None;1,946;4;1,875;62;1,071,331;193,278;5,542,941
102;French Guiana;9,968;None;67;None;9,637;None;264;4;33,161;223;66,825;222,310;300,594
103;Tajikistan;9,895;+43;77;None;8,707;+46;1,111;None;1,032;8;None;None;9,590,912
104;Mozambique;8,979;None;64;None;5,595;None;3,320;None;285;2;142,028;4,513;31,470,865
105;Luxembourg;8,797;+88;125;None;7,428;None;1,244;5;13,996;199;849,977;1,352,304;628,540
106;Gabon;8,797;None;54;None;8,067;None;676;3;3,929;24;180,173;80,479;2,238,765
107;Haiti;8,792;None;229;None;6,949;None;1,614;None;769;20;28,290;2,473;11,437,747
108;Uganda;8,662;+171;79;None;4,546;+76;4,037;None;188;2;489,264;10,615;46,093,908
109;Zimbabwe;7,858;None;228;None;6,322;None;1,308;None;527;15;159,741;10,708;14,917,513
110;Georgia;7,564;+471;48;+2;3,992;+278;3,524;None;1,897;12;639,816;160,468;3,987,180
111;Mauritania;7,511;None;162;None;7,163;None;186;3;1,605;35;80,652;17,234;4,679,827
112;Jamaica;6,795;+91;119;+3;2,345;+233;4,331;15;2,292;40;80,055;27,005;2,964,486
113;Slovenia;6,330;+227;155;+1;4,041;None;2,134;24;3,045;75;234,571;112,828;2,079,012
114;Cabo Verde;6,205;None;62;None;5,399;None;744;None;11,130;111;76,576;137,351;557,521
115;Malawi;5,783;None;179;None;4,535;None;1,069;4;300;9;54,015;2,806;19,252,077
116;Cuba;5,780;+62;122;None;5,118;+196;540;1;510;11;636,163;56,174;11,324,826
117;Guadeloupe;5,528;None;57;None;2,199;None;3,272;24;13,815;142;55,187;137,919;400,142
118;Eswatini;5,521;None;111;None;5,061;None;349;11;4,746;95;31,969;27,483;1,163,217
119;Djibouti;5,417;None;61;None;5,346;None;10;None;5,463;62;77,365;78,018;991,625
120;Angola;5,211;None;189;None;2,215;None;2,807;15;157;6;85,213;2,573;33,116,269
121;Nicaragua;5,170;None;151;None;2,913;None;2,106;None;778;23;None;None;6,644,534
122;Hong Kong;5,109;+4;105;None;4,849;+7;155;10;680;14;3,311,279;440,769;7,512,502
123;Congo;5,089;None;89;None;3,887;None;1,113;None;917;16;None;None;5,551,721
124;Lithuania;5,081;+125;94;+1;2,494;+28;2,493;None;1,873;35;796,027;293,493;2,712,251
125;Equatorial Guinea;5,045;None;83;None;4,879;None;83;4;3,567;59;60,916;43,074;1,414,217
126;Suriname;4,899;None;105;None;4,715;None;79;6;8,332;179;14,382;24,460;587,971
127;Rwanda;4,847;None;29;None;3,197;None;1,621;None;372;2;500,249;38,387;13,031,700
128;CAR;4,829;None;62;None;1,914;None;2,853;2;995;13;32,263;6,651;4,850,845
129;Trinidad and Tobago;4,709;+80;78;+2;2,802;+73;1,829;13;3,362;56;32,122;22,934;1,400,654
130;Syria;4,289;None;203;None;1,130;None;2,956;None;244;12;None;None;17,606,001
131;Bahamas;4,220;None;96;None;2,290;None;1,834;79;10,705;244;20,835;52,854;394,200
132;Réunion;4,178;None;16;None;3,360;None;802;17;4,658;18;35,419;39,488;896,945
133;Aruba;4,038;None;30;None;3,406;None;602;12;37,780;281;32,255;301,781;106,882
134;Mayotte;3,779;None;42;None;2,964;None;773;2;13,770;153;13,000;47,368;274,447
135;Somalia;3,593;None;99;None;3,001;None;493;None;225;6;None;None;16,002,333
136;Gambia;3,585;None;115;None;2,224;None;1,246;None;1,473;47;17,472;7,180;2,433,368
137;Thailand;3,583;+8;59;None;3,386;+2;138;1;51;0.8;749,213;10,727;69,845,095
138;Estonia;3,577;+71;67;+1;2,727;+52;783;2;2,696;50;220,132;165,916;1,326,765
139;Sri Lanka;3,392;+4;13;None;3,254;+9;125;None;158;0.6;289,588;13,509;21,436,312
140;Malta;3,204;+65;38;+1;2,711;+43;455;None;7,251;86;260,917;590,516;441,846
141;Botswana;3,172;None;16;None;710;None;2,446;1;1,342;7;184,076;77,883;2,363,484
142;Mali;3,156;None;131;None;2,467;None;558;None;155;6;55,197;2,707;20,394,111
143;Guyana;2,968;None;85;None;1,776;None;1,107;15;3,769;108;14,520;18,437;787,526
144;Iceland;2,872;+63;10;None;2,212;+18;650;3;8,402;29;285,315;834,718;341,810
145;South Sudan;2,715;None;50;None;1,290;None;1,375;None;242;4;12,044;1,073;11,227,004
146;Guinea-Bissau;2,362;None;39;None;1,549;None;774;5;1,193;20;None;None;1,979,541
147;Benin;2,357;None;41;None;1,973;None;343;None;193;3;203,831;16,705;12,201,596
148;Sierra Leone;2,252;None;72;None;1,697;None;483;None;281;9;None;None;8,017,480
149;Burkina Faso;2,123;None;59;None;1,385;None;679;None;101;3;None;None;21,044,450
150;Andorra;2,110;None;53;None;1,540;None;517;9;27,297;686;137,457;1,778,297;77,297
151;Uruguay;2,097;None;48;None;1,824;None;225;2;603;14;242,136;69,643;3,476,826
152;Belize;2,080;+54;28;+1;1,290;+18;762;2;5,207;70;15,323;38,361;399,437
153;Yemen;2,041;+1;589;None;1,320;+13;132;None;68;20;None;None;29,989,436
154;Latvia;2,019;+74;38;None;1,307;None;674;3;1,074;20;332,285;176,681;1,880,711
155;French Polynesia;1,964;None;8;None;1,555;None;401;11;6,981;28;26,355;93,682;281,324
156;New Zealand;1,849;+1;25;None;1,783;+3;41;None;370;5;976,369;195,192;5,002,100
157;Togo;1,818;None;48;None;1,365;None;405;None;218;6;93,294;11,204;8,326,881
158;Cyprus;1,811;+22;22;None;1,369;None;420;1;1,497;18;388,298;321,012;1,209,605
159;Lesotho;1,680;None;39;None;926;None;715;None;783;18;19,169;8,930;2,146,584
160;Martinique;1,543;None;21;None;98;None;1,424;9;4,113;56;36,331;96,834;375,190
161;Liberia;1,347;+1;82;None;1,221;None;44;None;265;16;None;None;5,087,181
162;Chad;1,211;None;85;None;1,070;None;56;None;73;5;None;None;16,541,668
163;Niger;1,198;None;69;None;1,115;None;14;None;49;3;25,579;1,048;24,418,730
164;Vietnam;1,096;None;35;None;1,020;None;41;None;11;0.4;1,009,145;10,344;97,561,728
165;Sao Tome and Principe;911;None;15;None;886;None;10;None;4,138;68;5,024;22,818;220,178
166;San Marino;732;None;42;None;680;None;10;3;21,562;1,237;7,755;228,431;33,949
167;Diamond Princess;712;None;13;None;651;None;48;4;None;None;None;None;
168;Turks and Caicos;695;+5;6;None;651;+3;38;4;17,890;154;3,464;89,166;38,849
169;Channel Islands;678;+1;48;None;600;None;30;2;3,890;275;123,884;710,870;174,271
170;Sint Maarten;674;+6;22;None;572;+5;80;6;15,674;512;3,783;87,977;43,000
171;Papua New Guinea;540;+1;7;None;527;+8;6;None;60;0.8;25,955;2,887;8,989,444
172;Taiwan;517;None;7;None;484;None;26;None;22;0.3;94,459;3,964;23,827,892
173;Burundi;513;None;1;None;472;None;40;None;43;0.08;37,522;3,133;11,977,608
174;Tanzania;509;None;21;None;183;None;305;7;8;0.3;None;None;60,152,419
175;Comoros;484;None;7;None;466;None;11;None;554;8;None;None;874,217
176;Faeroe Islands;473;+1;;None;432;None;41;None;9,671;None;133,306;2,725,481;48,911
177;Gibraltar;428;+12;;None;358;+7;70;None;12,705;None;48,790;1,448,290;33,688
178;Curaçao;411;None;1;None;197;None;213;2;2,502;6;7,730;47,058;164,265
179;Saint Martin;403;None;8;None;309;None;86;11;10,378;206;5,170;133,138;38,832
180;Mauritius;385;None;10;None;344;None;31;None;303;8;246,326;193,605;1,272,312
181;Eritrea;381;None;;None;353;None;28;None;107;None;None;None;3,558,821
182;Isle of Man;341;None;24;None;315;None;2;None;4,005;282;13,257;155,694;85,148
183;Mongolia;313;None;;None;307;None;6;1;95;None;72,418;22,001;3,291,573
184;Bhutan;283;+1;;None;229;+4;54;None;366;None;139,629;180,454;773,765
185;Cambodia;278;None;;None;275;None;3;None;17;None;141,676;8,444;16,777,419
186;Monaco;221;None;2;None;188;None;31;1;5,622;51;51,953;1,321,522;39,313
187;Cayman Islands;213;None;1;None;209;None;3;None;3,231;15;39,814;603,993;65,918
188;Barbados;193;None;7;None;179;None;7;None;671;24;23,750;82,618;287,466
189;Bermuda;181;None;9;None;169;None;3;None;2,909;145;65,904;1,059,243;62,218
190;Brunei;146;None;3;None;142;None;1;None;333;7;58,914;134,340;438,545
191;Seychelles;145;None;;None;143;None;2;None;1,472;None;5,200;52,790;98,503
192;Caribbean Netherlands;124;+3;1;None;46;+14;77;None;4,718;38;2,575;97,965;26,285
193;Liechtenstein;123;+3;1;None;116;None;6;None;3,224;26;900;23,587;38,156
194;Antigua and Barbuda;106;None;3;None;94;None;9;None;1,080;31;2,813;28,664;98,136
195;British Virgin Islands;71;None;1;None;66;None;4;2;2,345;33;4,841;159,864;30,282
196;St. Vincent Grenadines;64;None;;None;64;None;0;None;576;None;5,225;47,059;111,031
197;St. Barth;54;None;;None;37;None;17;None;5,463;None;2,668;269,904;9,885
198;Macao;46;None;;None;46;None;0;None;71;None;4,238;6,504;651,572
199;Fiji;32;None;2;None;28;None;2;1;36;2;10,385;11,563;898,105
200;Dominica;31;None;;None;24;None;7;None;430;None;2,612;36,262;72,032
201;Timor-Leste;28;None;;None;28;None;0;None;21;None;8,073;6,094;1,324,729
202;New Caledonia;27;None;;None;27;None;0;None;94;None;14,585;50,961;286,197
203;Saint Lucia;27;None;;None;27;None;0;None;147;None;8,120;44,168;183,842
204;Grenada;24;None;;None;24;None;0;None;213;None;6,252;55,496;112,657
205;Laos;23;None;;None;22;None;1;None;3;None;54,069;7,404;7,302,199
206;Saint Kitts and Nevis;19;None;;None;17;None;2;None;357;None;2,431;45,614;53,295
207;Saint Pierre Miquelon;16;None;;None;6;None;10;None;2,765;None;1,967;339,900;5,787
208;Greenland;14;None;;None;14;None;0;None;247;None;7,949;139,960;56,795
209;Montserrat;13;None;1;None;12;None;0;None;2,604;200;449;89,926;4,993
210;Falkland Islands;13;None;;None;13;None;0;None;3,709;None;2,261;645,078;3,505
211;Vatican City;12;None;;None;12;None;0;None;14,963;None;None;None;802
212;Western Sahara;10;None;1;None;8;None;1;None;17;2;None;None;600,976
213;MS Zaandam;9;None;2;None;None;None;7;None;None;None;None;None;
214;Anguilla;3;None;;None;3;None;0;None;200;None;1,020;67,833;15,037
215;Solomon Islands;1;+1;;None;None;None;1;None;1;None;None;None;691,056
216;China;85,434;+10;4,634;None;80,611;+10;189;2;59;3;160,000,000;111,163;1,439,323,776

Countries Yesterday:
countryRank;countryName;totalCases;newCases;totalDeaths;newDeaths;totalRecovered;newRecovered;activeCases;seriousCritical;totCases1Mpop;deaths1Mpop;totalTests;tests1Mpop;population
1;China;85,424;+10;4,634;None;80,601;+7;189;2;59;3;160,000,000;111,163;1,439,323,776
2;USA;7,549,323;+51,403;213,524;+864;4,776,824;+40,203;2,558,975;14,166;22,773;644;109,570,446;330,529;331,499,850
3;India;6,471,934;+79,974;100,875;+1,071;5,425,077;+76,424;945,982;8,944;4,678;73;76,717,728;55,454;1,383,456,294
4;Brazil;4,882,231;+33,002;145,431;+664;4,232,593;+19,821;504,207;8,318;22,927;683;17,900,000;84,059;212,945,646
5;Russia;1,194,643;+9,412;21,077;+186;970,296;+6,054;203,270;2,300;8,185;144;46,823,879;320,820;145,950,636
6;Colombia;841,531;+6,192;26,397;+201;753,953;+2,262;61,181;2,220;16,494;517;3,818,824;74,849;51,020,676
7;Peru;821,564;+3,267;32,609;+74;695,645;+5,117;93,310;1,331;24,830;986;3,922,567;118,550;33,087,868
8;Spain;810,807;+3,722;32,086;+113;N/A;N/A;N/A;1,566;17,340;686;12,723,989;272,116;46,759,459
9;Argentina;779,689;+14,687;20,599;+311;614,515;+11,375;144,575;3,828;17,211;455;2,030,512;44,822;45,301,410
10;Mexico;748,315;+5,099;78,078;+432;537,475;+3,589;132,762;2,466;5,788;604;1,968,556;15,227;129,276,993
11;South Africa;677,833;+1,749;16,909;+43;611,044;+1,460;49,880;539;11,393;284;4,229,709;71,090;59,498,013
12;France;589,653;+12,148;32,155;+136;97,778;+981;459,720;1,276;9,028;492;11,174,392;171,096;65,310,735
13;UK;467,146;+6,968;42,268;+66;N/A;N/A;N/A;341;6,872;622;25,048,460;368,482;67,977,452
14;Chile;466,590;+1,840;12,867;+45;439,607;+1,459;14,116;868;24,355;672;3,394,522;177,185;19,158,040
15;Iran;464,596;+3,552;26,567;+187;385,264;+1,896;52,765;4,137;5,514;315;4,067,861;48,275;84,265,047
16;Iraq;372,259;+4,785;9,298;+67;299,804;+3,922;63,157;562;9,204;230;2,311,962;57,160;40,446,933
17;Bangladesh;366,383;+1,396;5,305;+33;278,627;+1,549;82,451;None;2,219;32;1,970,251;11,933;165,106,733
18;Saudi Arabia;335,578;+481;4,823;+29;320,348;+602;10,407;970;9,602;138;6,592,660;188,629;34,950,413
19;Turkey;321,512;+1,442;8,325;+63;282,657;+1,506;30,530;1,455;3,802;98;10,608,664;125,443;84,569,589
20;Italy;319,907;+2,498;35,941;+23;229,970;+1,126;53,996;294;5,293;595;11,572,459;191,474;60,438,776
21;Philippines;316,656;+2,589;5,616;+56;254,587;+386;56,453;1,758;2,880;51;3,800,150;34,563;109,949,885
22;Pakistan;313,431;+625;6,499;+15;298,055;+558;8,877;480;1,412;29;3,580,173;16,129;221,964,934
23;Germany;298,363;+2,833;9,596;+10;259,500;+1,600;29,267;373;3,558;114;16,999,253;202,727;83,852,873
24;Indonesia;295,499;+4,317;10,972;+116;221,340;+2,853;63,187;None;1,077;40;3,365,490;12,271;274,258,537
25;Israel;258,920;+5,430;1,633;+11;185,122;+5,654;72,165;839;28,151;178;3,626,704;394,310;9,197,590
26;Ukraine;217,661;+4,633;4,261;+68;96,591;+2,148;116,809;177;4,985;98;2,308,415;52,866;43,665,155
27;Canada;162,659;+2,124;9,409;+90;137,614;+1,264;15,636;126;4,300;249;7,490,205;198,015;37,826,502
28;Ecuador;139,534;+950;11,495;+62;112,296;None;15,743;370;7,879;649;446,706;25,223;17,710,572
29;Bolivia;135,716;+405;8,001;+36;96,165;+636;31,550;71;11,587;683;303,107;25,877;11,713,261
30;Romania;132,001;+2,343;4,915;+53;105,582;+1,588;21,504;571;6,874;256;2,471,499;128,696;19,204,146
31;Morocco;128,565;+2,521;2,263;+34;106,044;+1,908;20,258;451;3,473;61;2,666,458;72,025;37,021,475
32;Netherlands;127,922;+3,825;6,428;+9;N/A;N/A;N/A;170;7,461;375;2,449,577;142,877;17,144,643
33;Qatar;126,164;+205;215;+1;123,108;+197;2,841;59;44,933;77;786,224;280,014;2,807,805
34;Belgium;121,059;+2,607;10,023;+7;19,521;+67;91,515;156;10,434;864;3,284,217;283,059;11,602,576
35;Panama;113,962;+620;2,406;+19;90,772;+869;20,784;113;26,308;555;493,485;113,920;4,331,867
36;Dominican Republic;113,350;+622;2,117;+9;88,840;+635;22,393;180;10,422;195;484,751;44,572;10,875,577
37;Kazakhstan;108,044;+65;1,725;None;103,028;+91;3,291;221;5,737;92;2,964,281;157,393;18,833,636
38;Kuwait;106,087;+411;615;+3;97,898;+701;7,574;137;24,749;143;753,775;175,849;4,286,499
39;Egypt;103,466;+149;5,956;+10;97,143;+288;367;41;1,006;58;135,000;1,313;102,817,572
40;Oman;98,585;None;935;None;88,528;None;9,122;190;19,185;182;376,700;73,306;5,138,737
41;UAE;96,529;+1,181;424;+3;86,071;+1,168;10,034;None;9,730;43;9,906,147;998,535;9,920,685
42;Poland;95,773;+2,292;2,570;+27;71,353;+952;21,850;166;2,531;68;3,390,790;89,618;37,835,871
43;Sweden;94,283;None;5,895;+5;N/A;N/A;N/A;20;9,321;583;1,661,484;164,253;10,115,386
44;Guatemala;93,090;+681;3,267;+6;81,466;+666;8,357;5;5,172;182;332,584;18,478;17,998,585
45;Japan;84,215;+652;1,578;+7;77,219;+629;5,418;145;666;12;2,125,762;16,821;126,375,826
46;Nepal;82,450;+2,722;520;+11;60,696;+3,307;21,234;None;2,817;18;1,048,686;35,830;29,268,206
47;Belarus;79,421;+402;844;+5;74,982;+205;3,595;None;8,406;89;1,897,263;200,800;9,448,519
48;Czechia;78,051;+3,796;699;+21;35,032;+846;42,320;221;7,285;65;1,410,357;131,636;10,714,104
49;Costa Rica;77,829;+1,001;930;+13;42,621;+2,778;34,278;224;15,243;182;234,624;45,951;5,105,967
50;Honduras;77,598;+698;2,380;+27;28,517;+595;46,701;23;7,803;239;181,731;18,275;9,944,256
51;Portugal;77,284;+888;1,983;+6;49,359;+422;25,942;107;7,585;195;2,625,120;257,643;10,188,983
52;Ethiopia;76,988;+890;1,208;+3;31,677;+247;44,103;296;666;10;1,285,743;11,116;115,668,563
53;Venezuela;76,820;+791;643;+8;67,216;+971;8,961;215;2,704;23;1,957,439;68,888;28,415,006
